max_trim,max_sem,desv_sem,prom_bim,max_mes_anterior,prom_mes_anterior,prom_sem,max_bim,mejor_gestion,prom_trim,pc_cant_moras_30_ult_12_meses,desv_trim,nro_gestiones,desv_bim,pc_cant_moras_30_ult_3_meses,dh_cant_entradas,pc_tiem_1er_prod_abierto_total,pc_cant_moras_60_ult_12_meses,gestiones_eficaces,pc_transaccional,dh_max_dia_entradas,pc_cupo_entidad,pc_cuotas_como_ppal,dh_val_entradas,pc_cant_moras_90_ult_12_meses,dh_max_dia_salidas,pc_cant_moras_60_ult_3_meses,pc_cuota_tarjeta_de_credito,cp_inicial_menos_saldo,pc_peor_estado_act_cta_aho,dia_pago,cp_cuotas_falta,pcons_tarjeta_de_credito,pc_cifin,gestiones_prod,pcons_vehiculos_sufi,cluster_recod,dh_avg_dia_retiros_d,dmi_max_egreso_diario,cpc_max_proc_deuda,dh_cant_otros_d,pc_cont_30_lt_12m_tot_sf,pc_cant_mora90_ult_12m_total,dmi_max_ingreso_diario,dh_val_otros_d,pc_ingreso_final,dh_cant_pagos_d,dmi_ingreso_total_mes,dh_val_pagos_d,pc_gasto_familiar,pc_cuotas_pagadas,cpc_avg_proc_deuda,cpc_sum_proc_deuda,dc_porc_prod_sin_mora,pc_ingreso_rutina_con_techo,pc_saldo_prom3_tdc_entidad,dh_cant_salidas,dh_min_dia_pagos_d,pc_ingreso_por_rutina,dh_min_dia_pago_tarj_d,cp_nro_cuota,dmi_egreso_total_mes,cp_valor_inicial,dh_max_dia_otros_d,cp_cuota_sobre_saldo,dc_sum_valor_inicial,dh_cant_pago_tarj_d,dh_max_dia_pagos_d,cp_saldo_sobre_inicial,pc_mediana_nom3,cp_esta_cuota_otro,dh_max_dia_retiros_d,dh_avg_dia_entradas,dh_avg_dia_pagos_d,dh_val_salidas,dc_sum_valor_cuota,dh_min_dia_tras_d,cp_porc_valorcuot_ing,pc_ind_ajustado,dh_val_retiros_d,pc_tiem_lt_prod_abie_total,marca_info_cifin_decode,dh_max_dia_pago_tarj_d,dc_valobli_ing,pc_cantidad_tdc_entidad,dh_min_dia_otros_d,dc_cant_obligaciones,cpc_sum_nro_cuota,cpc_avg_nro_cuota,cpc_max_nro_cuota,cp_saldo,cp_cuota_sobre_inicial,cpc_sum_saldo,cp_porc_saldo_ing,gsm_mejor_gestion,dh_min_dia_nomina_c,dh_max_dia_nomina_c,cp_valor_cuota,cpc_nro_cuota_tdc,gsm_prom_dias_gest,pc_cuota_no_rot_ent,dh_val_nomina_c,banca_completa,cpc_saldo_sobre_ing,dh_min_dia_pago_cred_d,cpc_saldo_tdc,pc_cuota_de_consumo,dh_cant_tras_d,dh_max_dia_comisio_d,cpc_avg_saldo,dc_max_saldo_sf,dh_val_pago_tarj_d,pc_productos_no_rotativos_entidad,pc_saldo_no_rot_ent,pc_vi_no_rotativos_entidad,dh_min_dia_entradas,pcons_hipotecario_vivienda,gsm_mejor_gestion_3m,dh_avg_dia_salidas,llave,segmentoestructural,subsegmentoestructural,anhomes_ciclo
30,32,12.07338671,29,30,30,23.16666667,30,0,26,0,5.291502622,0,1.414213562,0,4,0,0,0,6670935.096,31,0,0,5107500,0,21,0,0,0,0,27,0,0,0,0,0,13,13,4224153,0,1,0,0,4207500,10100,6670935.096,5,5107500,4490658,1701088.45,0,0,0,0,6670935.096,0,13,1,6670935.096,0,0,5107405,0,8,0,0,0,16,0,0,0,21,6.555555556,1.166666667,5107405,0,0,0,3572285.744,604728,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,6,16,PYME,Pyme Pequena,201704
31,31,11.75868473,29,31,31,22.66666667,31,0,29.33333333,0,2.081665999,0,2.828427125,0,5,0,0,0,6670935.096,31,0,0,2519025,0,30,0,0,0,0,27,0,0,0,0,0,13,21.66666667,2014797,0,1,0,0,2203000,10100,6670935.096,0,2519025,0,1701088.45,0,0,0,0,6670935.096,0,6,0,6670935.096,0,0,2026864,0,5,0,0,0,0,0,0,0,30,8.766666667,0,2026864,0,0,0,3572285.744,2008075,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,5,0,0,8.833333333,18,PYME,Pyme Pequena,201706
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,26858138.11,31,0,0,72109579,0,31,0,0,0,0,26,0,0,0,0,0,6,14.43478261,17692493,0.8230824,2,0,0,21100054,23371,26858138.11,15,72109579,34001170,5707354.348,1456516.708,0.701636176,0.701636176,0,26858138.11,0,55,3,26858138.11,3,0,75438987,0,26,0,0,2,25,0,0,0,31,4.526175214,3.6875,75438987,0,1,0,14098991.7,14208694,0,0,3,0,0,16,0,524,87.33333333,150,0,0,119365854.5,0,0,0,0,0,396,0,0,0,0,3.824602836,3,31898118,0,11,26,19894309.08,0,7021442,0,0,0,1,1,0,8.73509552,19,PYME,Pyme Pequena,201706
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,48434090.6,31,0,0,143603217,0,31,0,0,0,0,17,0,1,0,0,0,6,16.86666667,33829958,0.837994903,4,0,0,36874485,609765,41168977.01,20,143603217,86250554,12108522.65,1446710.618,0.665499679,0.665499679,0,48434090.6,0,75,2,48434090.6,2,0,169371855,0,28,0,0,4,30,0,0,0,31,6.214804293,3.7125,169371855,0,1,0,19294557.47,18283153,0,0,29,0,0,10,0,496,82.66666667,145,0,0,106563136.1,0,0,0,0,0,376,0,0,0,0,3.414390777,3,17441899,0,16,20,17760522.69,0,13582574,0,0,0,1,0,0,9.493055556,21,PYME,Pyme Pequena,201701
15,15,7.5,7.5,15,15,3.75,15,0,5,0,8.660254038,0,10.60660172,0,29,0,0,0,21656501.4,30,0,0,56106328,0,30,0,0,0,0,27,0,0,0,0,0,1,16.55555556,24225340,0.900225813,10,0,0,21677699,400069,18408026.19,19,56106328,36555226,5414125.35,1840035.33,0.835364012,0.835364012,0,21656501.4,0,83,1,21656501.4,13,0,64569847,0,30,0,0,1,29,0,0,0,30,6.575,3.861111111,64569847,0,27,0,7553395.423,27055517,0,0,13,0,0,1,0,131,65.5,66,0,0,109505802.5,0,0,0,0,0,65,0,0,0,0,2.953489788,9,499685,0,1,30,54752901.25,0,8268595,0,0,0,1,0,0,9.762535613,23,PYME,Pyme Pequena,201701
7,7,2.810693865,3.5,0,0,1.5,7,0,2.333333333,0,4.041451884,0,4.949747468,0,0,0,0,0,16504588,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16504588,0,0,0,3507224.95,1840908.33,0,0,0,16504588,0,0,0,16504588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7812689.868,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,PYME,Pyme Pequena,201608
7,7,2.714160398,1,2,2,1.833333333,2,0,3,0,3.605551275,0,1.414213562,0,0,0,0,0,16504588,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16504588,0,0,0,3507224.95,1840908.33,0,0,0,16504588,0,0,0,16504588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7812689.868,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,PYME,Pyme Pequena,201609
12,12,5.196152423,7.5,3,3,3,12,0,5,0,6.244997998,0,6.363961031,0,0,0,0,0,16504588,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16504588,0,0,0,3507224.95,1840908.33,0,0,0,16504588,0,0,0,16504588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7812689.868,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,PYME,Pyme Pequena,201608
28,28,11.21457385,0,0,0,7.166666667,0,0,9.333333333,0,16.16580754,0,0,0,28,0,0,0,25695635,31,0,0,25403260,0,31,0,0,0,0,17,0,1,0,0,0,1,18.14814815,5020000,0.906181766,10,0,0,10000000,978382,21841289.75,14,25403260,3965899,6423908.75,1836561.33,0.906181766,0.906181766,0,25695635,0,81,1,25695635,0,0,30854193,0,30,0,0,0,31,0,0,0,31,7.507575758,3.435606061,30854193,0,3,0,9274163.587,10716675,0,0,0,0,0,6,0,63,63,63,0,0,109727309.1,0,0,0,0,0,0,0,0,0,0,2.95946406,11,0,0,8,26,109727309.1,0,0,0,0,0,5,0,0,9.475726967,29,PYME,Pyme Pequena,201611
4,28,10.99848474,2,0,0,5.833333333,4,0,1.333333333,0,2.309401077,0,2.828427125,0,29,0,0,0,21656501.4,30,0,0,56106328,0,30,0,0,0,0,17,0,1,0,0,0,1,16.55555556,24225340,0.900225813,10,0,0,21677699,400069,18408026.19,19,56106328,36555226,5414125.35,1840035.33,0.835364012,0.835364012,0,21656501.4,0,83,1,21656501.4,13,0,64569847,0,30,0,0,1,29,0,0,0,30,6.575,3.861111111,64569847,0,27,0,7553395.423,27055517,0,0,13,0,0,1,0,131,65.5,66,0,0,109505802.5,0,0,0,0,0,65,0,0,0,0,2.953489788,9,499685,0,1,30,54752901.25,0,8268595,0,0,0,1,0,0,9.762535613,30,PYME,Pyme Pequena,201701
3,4,1.834847859,1.5,0,0,1.166666667,3,0,1,0,1.732050808,0,2.121320344,0,44,0,0,0,21656501.4,28,0,0,74993672,0,28,0,0,0,0,17,0,1,0,0,0,1,19.30555556,15253738,0.898202292,15,0,0,33829726,12619310,18408026.19,11,74993672,3681416,5414125.35,1840035.33,0.902549907,0.902549907,0,21656501.4,0,95,1,21656501.4,0,0,53921528,0,28,0,0,0,28,0,0,0,28,8.189285714,2.403061224,53921528,0,1,0,7553395.423,24435162,0,0,0,0,0,7,0,134,67,67,0,0,118313035.2,0,0,0,0,0,67,0,0,0,0,3.191030369,3,9551941,0,5,28,59156517.62,0,0,0,0,0,1,0,0,7.527532124,31,PYME,Pyme Pequena,201703
4,4,1.834847859,0,0,0,1.166666667,0,0,1.333333333,0,2.309401077,0,0,0,34,0,0,0,18874458.94,31,0,0,20476755,0,31,0,0,0,0,17,0,1,0,0,0,1,13.62962963,10613764,0.892017723,11,0,0,6272829,2112525,18874458.94,13,20476755,4112448,4010822.524,1840908.33,0.858448975,0.858448975,0,18874458.94,0,69,8,18874458.94,0,0,28771131,0,31,0,0,0,30,0,0,0,31,6.75734127,3.9625,28771131,0,5,0,9172403.318,21461491,0,0,0,0,0,3,0,140,70,70,0,0,112531953.1,0,0,0,0,0,70,0,0,0,0,3.03510834,15,4519733,0,2,31,56265976.57,0,0,0,0,0,2,0,0,10.3368266,32,PYME,Pyme Pequena,201706
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,7265946.578,31,0,0,153603589,0,31,0,0,0,0,10,0,0,0,0,0,7,16.45833333,67714480,0,14,0,0,98340437,1048480,7265946.578,3,153603589,402592,1852816.377,0,0,0,0,7265946.578,0,78,1,7265946.578,0,0,171386296,0,24,0,0,0,10,0,0,0,31,6.905213675,0.7,171386296,0,1,0,3890914.393,68169541,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,0,0,0,0,0,0,1,0,0,6.574664502,33,PYME,Pyme Pequena,201704
7,7,3.785938897,6.5,6,6,4.333333333,7,0,4.333333333,0,3.785938897,0,0.707106781,0,93,0,0,0,7265946.578,31,0,0,166083855,0,31,0,0,0,0,15,0,0,0,0,0,7,15.68421053,19122050,0.295890667,19,0,0,27271888,98765,7265946.578,8,166083855,27037769,1852816.377,0,0.295890667,0.295890667,0,7265946.578,0,121,3,7265946.578,8,0,167158575,0,31,0,0,2,27,0,0,0,31,6.286825474,4.136363636,167158575,0,3,0,3890914.393,37300472,0,0,27,0,0,2,0,2,2,2,0,0,4438360,0,0,0,0,0,2,0,0,0,0,0.051188113,15,4438360,0,18,31,4438360,0,20768677,0,0,0,1,0,0,9.978203083,35,PYME,Pyme Pequena,201706
33,33,15.93319386,16.5,0,0,11.66666667,33,0,21.33333333,0,18.50225212,0,23.33452378,0,0,0,0,0,6001779.352,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5101512.449,0,0,0,1800533.806,371119.1085,0,0,0,6001779.352,0,0,0,6001779.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948169.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,PYME,Pyme Pequena,201610
19,33,15.01221725,9.5,0,0,14.83333333,19,0,6.333333333,0,10.96965511,0,13.43502884,0,14,0,0,0,6001779.352,30,0,0,46923952,0,30,0,0,0,0,29,0,0,0,0,0,6,18.68,4317200,1.089011,3,0,0,24813952,414505,5101512.449,17,46923952,7275706,1800533.806,371119.1085,1.089011,1.089011,0,6001779.352,0,51,1,6001779.352,3,0,22178856,0,30,0,0,2,30,0,0,0,30,6.783950617,2.625925926,22178856,0,15,0,1948169.401,10495635,0,0,6,0,0,15,0,36,36,36,0,0,7623077,0,0,0,0,0,36,0,0,0,0,0.263037059,1,7623077,0,4,30,7623077,0,824710,0,0,0,1,0,0,11.45148148,40,PYME,Pyme Pequena,201612
19,33,14.79752232,4,8,8,15.16666667,8,0,9,0,9.539392014,0,5.656854249,0,13,0,0,0,7602826.922,29,0,0,27414000,0,30,0,0,0,0,29,0,0,0,0,0,6,17.37931034,11856210,1.124982857,11,0,0,8440000,11383789,6462402.884,9,27414000,6166463,2280848.077,429782.5575,1.124982857,1.124982857,0,7602826.922,0,55,2,7602826.922,2,0,52269938,0,24,0,0,1,29,0,0,0,30,4.386904762,2.671875,52269938,0,1,0,2504170.635,25608286,0,0,2,0,0,2,0,37,37,37,0,0,7874880,0,0,0,0,0,37,0,0,0,0,0.271725613,9,7874880,0,5,14,7874880,0,1496056,0,0,0,1,0,0,10.27610697,41,PYME,Pyme Pequena,201701
11,19,8.018728079,11,0,0,7.6,11,0,9.5,0,2.121320344,0,0,0,8,0,0,0,7602826.922,27,0,0,30560000,0,28,0,0,0,0,29,0,0,0,0,0,6,14.2,3970264,1.100978143,5,0,0,15000000,6738534,6462402.884,9,30560000,8362568,2280848.077,429782.5575,1.100978143,1.100978143,0,7602826.922,0,38,1,7602826.922,1,0,22058753,0,22,0,0,2,28,0,0,0,28,5.111111111,1.531746032,22058753,0,19,0,2504170.635,5387879,0,0,4,0,0,9,0,39,39,39,0,0,7706847,0,0,0,0,0,39,0,0,0,0,0.265927573,4,7706847,0,2,16,7706847,0,955073,0,0,0,4,0,0,8.853968254,42,PYME,Pyme Pequena,201703
6,11,4.898979486,3,0,0,5,6,0,3,1,4.242640687,0,4.242640687,1,10,0,0,0,15247193.9,30,0,0,15685000,0,30,0,0,0,0,29,0,0,0,0,0,6,12.64705882,1912064,1.127177571,0,0,0,6135000,0,15247193.9,10,15685000,3600516,3240028.703,543636.0765,1.127177571,1.127177571,0,15247193.9,0,30,1,15247193.9,2,0,7764699,0,0,0,0,1,29,0,0,0,30,5.4375,2.444444444,7764699,0,3,0,8258805.028,4030933,0,0,2,0,0,0,0,41,41,41,0,0,7890243,0,0,0,0,0,41,0,0,0,0,0.272255719,1,7890243,0,2,12,7890243,0,893232,0,0,0,1,0,0,6.025326797,43,PYME,Pyme Pequena,201705
12,12,6,6,0,0,3,12,0,4,0,6.92820323,0,8.485281374,0,14,0,0,0,6001779.352,30,0,0,46923952,0,30,0,0,0,0,30,0,0,0,0,0,6,18.68,4317200,1.089011,3,0,0,24813952,414505,5101512.449,17,46923952,7275706,1800533.806,371119.1085,1.089011,1.089011,0,6001779.352,0,51,1,6001779.352,3,0,22178856,0,30,0,0,2,30,0,0,0,30,6.783950617,2.625925926,22178856,0,15,0,1948169.401,10495635,0,0,6,0,0,15,0,36,36,36,0,0,7623077,0,0,0,0,0,36,0,0,0,0,0.263037059,1,7623077,0,4,30,7623077,0,824710,0,0,0,1,0,0,11.45148148,46,PYME,Pyme Pequena,201612
7,12,5.07937004,4,0,0,4.6,4,0,5.5,0,2.121320344,0,0,0,8,0,0,0,7602826.922,27,0,0,30560000,0,28,0,0,0,0,30,0,0,0,0,0,6,14.2,3970264,1.100978143,5,0,0,15000000,6738534,6462402.884,9,30560000,8362568,2280848.077,429782.5575,1.100978143,1.100978143,0,7602826.922,0,38,1,7602826.922,1,0,22058753,0,22,0,0,2,28,0,0,0,28,5.111111111,1.531746032,22058753,0,19,0,2504170.635,5387879,0,0,4,0,0,9,0,39,39,39,0,0,7706847,0,0,0,0,0,39,0,0,0,0,0.265927573,4,7706847,0,2,16,7706847,0,955073,0,0,0,4,0,0,8.853968254,48,PYME,Pyme Pequena,201703
15,15,5.856620186,7.5,15,15,7.4,15,0,8.666666667,1,7.767453465,0,10.60660172,1,2,0,0,0,15247193.9,25,0,0,5160000,0,26,0,0,0,0,30,0,0,0,0,0,6,13.76923077,5188624,1.144420714,0,0,0,3160000,0,15247193.9,5,5160000,3016591,3240028.703,543636.0765,1.144420714,1.144420714,0,15247193.9,0,20,2,15247193.9,3,0,12304862,0,0,0,0,1,25,0,0,0,26,6.285714286,2.178571429,12304862,0,20,0,8258805.028,7849021,0,0,3,0,0,0,0,42,42,42,0,0,8010945,0,0,0,0,0,42,0,0,0,0,0.276420586,2,8010945,0,1,12,8010945,0,89140,0,0,0,19,0,0,8.717032967,50,PYME,Pyme Pequena,201706
15,15,5.89067059,10.5,6,6,7.2,15,0,7,3,7.549834435,0,6.363961031,2,6,0,2,0,15550000,14,0,0,7251000,1,14,2,0,0,0,15,0,0,0,0,0,6,9.75,7315525,1.076707286,0,0,1,4330000,0,15550000,9,7251000,7097145,3304375,543636.0765,1.076707286,1.076707286,0,15550000,0,19,3,15550000,7,0,7941029,0,0,0,0,1,14,0,0,0,14,2.535714286,2.232142857,7941029,0,14,0,8432540.031,331634,0,2,7,0,0,0,0,43,43,43,0,0,7536951,0,0,0,0,0,43,0,0,0,0,0.26006525,3,7536951,0,1,14,7536951,0,473994,0,0,0,3,0,0,7.625,51,PYME,Pyme Pequena,201707
